,Model,accuracy,confusion,f1,precision,recall,train_size
18,MLP Hybrid,0.8332284455632472,"[[320.6  15.2  34.   13.2   8.8]
 [  9.2 297.8   8.8   7.4   6.8]
 [ 19.    7.2 134.8  22.6   5. ]
 [ 12.4  12.8  53.  348.2   2.8]
 [  8.6   7.6   5.6   5.  222.6]]",0.8206863304951459,0.8194075482783264,0.8354255032918827,760
19,MLP Hybrid,0.8238863783085861,"[[302.2  10.4  23.    9.4   5.4]
 [ 12.6 294.8  12.8  12.2  13.6]
 [ 27.6   8.  144.8  36.    7.8]
 [  9.8  13.   46.2 324.4   4.2]
 [  7.4   6.4   3.    4.  210. ]]",0.8149229103127149,0.8141350652280976,0.8348597249454979,800
20,MLP Hybrid,0.8165672630881378,"[[279.2  10.8  21.4  10.4   3.8]
 [ 11.  281.6  11.   11.    6.6]
 [ 36.   14.  149.6  38.4   9.2]
 [ 13.4   9.4  36.8 309.6   3. ]
 [ 11.2   8.2   5.    6.2 212.2]]",0.8106327047662842,0.8119754828741123,0.8234535877074423,840
21,MLP Hybrid,0.83784887678693,"[[291.   10.   27.4  10.2   6.4]
 [ 12.6 288.4  11.6  12.6  11.4]
 [ 20.6   6.4 138.   26.    6.6]
 [ 10.4   7.4  38.6 313.4   3.2]
 [  7.    4.8   2.2   2.8 200. ]]",0.8287558969872816,0.8267587828039089,0.8386778453432575,880
22,MLP Hybrid,0.829111266620014,"[[279.   13.4  21.   10.8   8.8]
 [  6.8 266.6   4.6   6.    6.8]
 [ 33.   16.  153.6  44.8   7.6]
 [  8.    7.8  32.  290.2   2. ]
 [  6.2   5.2   1.4   2.  195.4]]",0.8262486587866039,0.8263034619068079,0.834984827319796,920
23,MLP Hybrid,0.8408927285817136,"[[281.8  12.8  31.4  15.4  11. ]
 [  9.4 272.4   8.    8.4   8.4]
 [ 18.    4.2 131.6  26.8   2.8]
 [  8.6   5.   32.8 291.4   2.2]
 [  5.6   5.2   2.    3.  190.8]]",0.8332671158875582,0.8306879791910873,0.8426532708133498,960
24,MLP Hybrid,0.8232765011119347,"[[2.644e+02 1.540e+01 3.140e+01 1.600e+01 1.180e+01]
 [7.600e+00 2.570e+02 3.400e+00 5.400e+00 8.800e+00]
 [3.100e+01 8.600e+00 1.330e+02 2.980e+01 8.200e+00]
 [9.200e+00 7.800e+00 3.320e+01 2.820e+02 3.800e+00]
 [3.200e+00 3.200e+00 2.000e-01 4.000e-01 1.742e+02]]",0.8179671726681846,0.8133178669201315,0.8388243283723931,1000
25,MLP Hybrid,0.8394194041252865,"[[255.    8.2  19.8   9.6   5.2]
 [  7.2 251.6   5.6   6.8   7.2]
 [ 28.4   8.4 134.6  28.6   5.8]
 [  8.2   9.4  33.  278.4   1.8]
 [  6.8   5.    2.4   2.8 179.2]]",0.8338155225828942,0.8335332804321434,0.8402883662738849,1040
26,MLP Hybrid,0.8267927501970055,"[[227.6   3.2  12.8   5.    2.2]
 [ 11.8 246.2   4.    6.6   6.6]
 [ 39.6   8.2 135.2  33.2   7. ]
 [ 13.2  12.2  36.4 266.2   4.6]
 [  5.6   4.4   2.    1.2 174. ]]",0.823746821347733,0.8244874367310073,0.8406001618926565,1080
27,MLP Hybrid,0.8288039056143205,"[[240.2   9.4  27.8  15.    6.4]
 [  9.8 236.4   7.4   7.    7.6]
 [ 18.    3.8 111.4  17.6   2.6]
 [ 14.6  10.6  37.  261.2   2.6]
 [  6.    4.4   1.8   1.  169.4]]",0.8225604454613282,0.8191625345713895,0.8423665824899151,1120
28,MLP Hybrid,0.8306139613120269,"[[242.8   9.4  25.6  14.6   6. ]
 [  6.8 233.    6.2  10.4   7.8]
 [ 18.6   5.6 116.6  29.8   5. ]
 [  8.6   5.   27.8 232.6   1.4]
 [  5.    3.8   1.4   2.6 162.6]]",0.8241017511798624,0.8235493720878623,0.836825161822078,1160
29,MLP Hybrid,0.8424717145343777,"[[232.2   9.   22.8  12.2   4.8]
 [  7.6 220.2   5.6   5.4   6. ]
 [ 11.6   3.8 104.6  13.    2.2]
 [ 13.4   9.   34.2 249.2   2. ]
 [  7.8   6.    2.4   2.2 161.8]]",0.8343620493706284,0.8312032550586897,0.8491061468061799,1200
30,MLP Hybrid,0.8461677186654644,"[[224.    4.8  16.6   6.    4.4]
 [  6.  217.2   4.2   3.8   7. ]
 [ 12.2   4.4  99.6  16.2   2.4]
 [ 16.    9.2  42.  245.6   5.4]
 [  4.6   4.2   0.6   0.6 152. ]]",0.8373154155401525,0.832757911193832,0.8584140657943811,1240
31,MLP Hybrid,0.8492048643592142,"[[218.4   7.8  19.2   7.    5. ]
 [  4.2 205.6   3.6   4.4   5. ]
 [ 11.8   2.2  97.8  13.6   2.4]
 [ 10.6  10.2  34.4 234.8   1.4]
 [  7.4   6.2   1.6   3.2 151.2]]",0.8396024739299065,0.837380420166772,0.852084488684992,1280
32,MLP Hybrid,0.8472303206997085,"[[202.6   8.8  17.6   7.6   6.2]
 [  4.2 200.    3.2   3.    5. ]
 [ 19.2   4.4  98.6  14.4   3. ]
 [ 11.    7.   30.8 227.2   1. ]
 [  5.    4.4   0.6   0.8 143.4]]",0.8396221547575612,0.8384109785567816,0.8518584625862419,1320
33,MLP Hybrid,0.8461071789686552,"[[200.6   8.2  23.4  10.2   4.6]
 [  4.  194.6   4.8   4.    5.8]
 [  7.    0.6  81.8   7.2   1.4]
 [ 14.2   7.   36.  221.6   2.4]
 [  5.4   4.6   0.8   0.6 138.2]]",0.8350091706132039,0.8288592836852484,0.8629524114865859,1360
34,MLP Hybrid,0.8537407797681771,"[[192.8   8.2  17.    7.4   4.2]
 [  2.2 184.2   2.4   2.8   3.6]
 [ 12.8   6.   94.6  18.2   2.8]
 [  9.2   5.2  27.4 205.4   2.2]
 [  3.2   3.    0.6   0.4 133.2]]",0.8472212106668142,0.8453576985829174,0.8595943136327829,1400
35,MLP Hybrid,0.8618261826182618,"[[183.    5.8  15.    7.    3.8]
 [  4.2 181.6   2.6   4.    4.8]
 [ 12.8   4.   93.8  16.2   2.6]
 [  7.2   5.   22.6 196.4   0.4]
 [  3.4   3.2   0.8   0.2 128.6]]",0.8553551282912194,0.8548749333689205,0.8613808832281388,1440
36,MLP Hybrid,0.8559263521288838,"[[176.4   4.2  15.6   8.2   3.2]
 [  5.6 178.    7.2   9.    6.6]
 [  8.8   2.6  85.8  15.6   1.8]
 [  4.8   2.6  18.  181.4   0.4]
 [  4.8   3.2   2.4   0.6 122.2]]",0.8479221060439983,0.8477195433419737,0.853911603919423,1480
37,MLP Hybrid,0.8482509047044632,"[[166.    4.6  14.6   7.2   2.8]
 [  3.2 163.    2.2   2.6   3.2]
 [ 12.6   6.8  86.2  22.    5.8]
 [  7.6   3.2  20.  173.    1.2]
 [  2.6   3.4   0.    0.2 115. ]]",0.8445179089499725,0.8414413800503245,0.8611816171073503,1520
38,MLP Hybrid,0.8560202788339671,"[[164.6   7.2  18.6  10.    5. ]
 [  2.6 157.4   2.6   3.6   4. ]
 [  7.4   3.4  78.   16.8   1.6]
 [  3.2   2.8  18.  164.    0.2]
 [  2.8   2.4   1.    0.4 111.4]]",0.8491442461624572,0.8486632905704911,0.8594838861268664,1560
