,Model,accuracy,confusion,f1,precision,recall,train_size
97,SVM W2V,0.5412524209167204,"[[209.2  36.8  61.   42.   38. ]
 [ 54.8 219.6  35.   48.4  44.2]
 [ 14.4   9.4  41.2  15.2  12.8]
 [ 57.4  49.   74.  258.4  36. ]
 [ 23.8  17.8  18.6  22.  110. ]]",0.5037473227060424,0.5101597920173123,0.532617249286172,800
98,SVM Hybrid,0.8632666236281473,"[[312.8   8.6  23.8  10.8   3.8]
 [  6.4 303.6   5.8   7.2   5.2]
 [ 22.6   5.4 151.   23.2   3.2]
 [ 11.2   9.2  47.4 342.2   1.2]
 [  6.6   5.8   1.8   2.6 227.6]]",0.8557940511011651,0.8542817460328287,0.859370580326958,800
99,SVM Hybrid B,0.8622336991607489,"[[310.    6.2  20.8  10.2   3.8]
 [  6.8 303.8   7.    6.2   4.4]
 [ 26.    9.4 154.4  27.2   4.2]
 [ 12.    7.   46.6 340.    1.2]
 [  4.8   6.2   1.    2.4 227.4]]",0.8553339506549573,0.8544284234595079,0.8573341972107489,800
100,SVM BoW,0.8666666666666668,"[[303.8   6.   23.6   9.    3.4]
 [  6.4 298.2   6.    5.4   3.8]
 [ 27.2   8.6 150.8  26.6   4.4]
 [  9.    6.2  42.4 332.4   0.6]
 [  4.4   5.    1.    2.2 222.6]]",0.8593123563904979,0.8587086619357323,0.8605993453907566,840
101,SVM TFIDF,0.8702451954937045,"[[308.8   8.2  24.6  10.2   3.6]
 [  7.4 299.4   6.6   6.2   4.4]
 [ 17.6   5.4 144.4  20.4   2.2]
 [ 11.2   6.6  45.8 336.4   0.4]
 [  5.8   4.4   2.4   2.4 224.2]]",0.8617713834227491,0.8601227655123452,0.866454740653326,840
102,SVM W2V,0.5399602385685884,"[[200.4  33.4  59.   40.2  38.2]
 [ 55.4 215.8  34.8  47.4  42.8]
 [ 14.2   9.4  39.6  14.   12.8]
 [ 57.6  48.6  73.  252.2  34.2]
 [ 23.2  16.8  17.4  21.8 106.8]]",0.5022591352099125,0.5088329490833491,0.5320087960316375,840
103,SVM Hybrid,0.8665341285619617,"[[306.6   7.8  23.6  10.6   4. ]
 [  6.6 296.2   6.4   6.    5.4]
 [ 19.8   5.4 148.6  22.2   2.8]
 [ 11.6   8.6  43.  334.8   1.2]
 [  6.2   6.    2.2   2.  221.4]]",0.8591129426015429,0.8574298597313129,0.8628415127544805,840
104,SVM Hybrid B,0.8630881378396289,"[[303.    6.   20.8  10.    3.4]
 [  6.6 296.8   7.8   5.8   4.4]
 [ 23.8   8.6 149.4  26.2   4.2]
 [ 12.8   6.8  45.  331.6   1.2]
 [  4.6   5.8   0.8   2.  221.6]]",0.8560326816153021,0.8548624677075372,0.8583526584108447,840
105,SVM BoW,0.868073519400953,"[[295.6   4.8  21.6   8.2   3.4]
 [  6.4 293.4   5.4   5.    4. ]
 [ 25.    9.2 147.   26.4   4.4]
 [ 10.    4.4  43.2 324.2   0.8]
 [  4.6   5.2   0.6   1.2 215. ]]",0.8606223250218372,0.8597544952968714,0.8623355996281383,880
106,SVM TFIDF,0.8733832539142273,"[[299.2   6.6  22.4   9.4   4. ]
 [  7.2 296.    6.6   6.2   4. ]
 [ 17.6   5.2 142.4  19.    2. ]
 [ 11.6   4.4  44.8 328.2   0.4]
 [  6.    4.8   1.6   2.2 217.2]]",0.8651026085742783,0.8634700572485807,0.8695453671101345,880
