,Model,accuracy,confusion,f1,precision,recall,train_size
84,LSTM BoW,0.9716814159292035,"[[354.4   1.8   1.    0.    7.4]
 [  2.6 334.4   2.2   0.    9.4]
 [  1.    0.6 313.4   2.    1.4]
 [  0.    3.    0.4 225.6   0. ]
 [  7.    1.8   0.    0.  199.6]]",0.9703121699142454,0.9692637637304171,0.9716438128361492,880
85,LSTM TFIDF,0.9675970047651464,"[[355.6   5.2   0.8   0.   11.2]
 [  2.  330.4   1.6   0.    9.8]
 [  0.6   0.4 314.2   2.    1.2]
 [  0.    3.6   0.4 225.6   0. ]
 [  6.8   2.    0.    0.  195.6]]",0.9660772820409333,0.9643889766561193,0.9683143367454811,880
86,LSTM W2V,0.985296119809394,"[[359.4   0.6   0.    0.    4.8]
 [  2.6 338.4   0.    0.    7. ]
 [  0.    0.  317.    1.    0. ]
 [  0.    1.8   0.  226.6   0. ]
 [  3.    0.8   0.    0.  206. ]]",0.9844233291431387,0.9833453921712989,0.9856793118411342,880
87,LSTM Hybrid,0.9820285908781484,"[[358.8   0.8   0.    0.    8. ]
 [  2.  336.8   0.    0.    4.8]
 [  0.    0.  317.    1.    1.6]
 [  0.    1.8   0.  226.6   0. ]
 [  4.2   2.2   0.    0.  203.4]]",0.9807396053508795,0.9796840150536138,0.9819540016162142,880
88,LSTM BoW,0.9753673897830651,"[[3.444e+02 2.000e+00 8.000e-01 0.000e+00 5.000e+00]
 [3.200e+00 3.268e+02 1.400e+00 0.000e+00 7.800e+00]
 [6.000e-01 4.000e-01 3.064e+02 2.400e+00 1.800e+00]
 [0.000e+00 2.000e+00 2.000e-01 2.182e+02 0.000e+00]
 [5.600e+00 1.800e+00 2.000e-01 0.000e+00 1.980e+02]]",0.9743567025954605,0.973381120966512,0.9755195571296698,920
89,LSTM TFIDF,0.9710286913925822,"[[3.454e+02 5.000e+00 4.000e-01 0.000e+00 9.600e+00]
 [1.400e+00 3.222e+02 1.600e+00 2.000e-01 6.800e+00]
 [8.000e-01 1.000e+00 3.066e+02 2.000e+00 1.000e+00]
 [0.000e+00 2.600e+00 4.000e-01 2.184e+02 2.000e-01]
 [6.200e+00 2.200e+00 0.000e+00 0.000e+00 1.950e+02]]",0.9699045334572928,0.96866715204164,0.9714316433369078,920
90,LSTM W2V,0.9862841147655702,"[[3.482e+02 2.000e-01 0.000e+00 0.000e+00 3.800e+00]
 [2.000e+00 3.300e+02 0.000e+00 2.000e-01 6.000e+00]
 [0.000e+00 0.000e+00 3.090e+02 1.000e+00 0.000e+00]
 [0.000e+00 1.200e+00 0.000e+00 2.194e+02 0.000e+00]
 [3.600e+00 1.600e+00 0.000e+00 0.000e+00 2.028e+02]]",0.9853915189507078,0.9847518954550777,0.9861203155945587,920
91,LSTM Hybrid,0.9840447865640307,"[[3.474e+02 8.000e-01 0.000e+00 0.000e+00 6.000e+00]
 [1.800e+00 3.298e+02 0.000e+00 2.000e-01 4.800e+00]
 [0.000e+00 0.000e+00 3.090e+02 1.000e+00 1.000e+00]
 [0.000e+00 1.200e+00 0.000e+00 2.194e+02 2.000e-01]
 [4.600e+00 1.200e+00 0.000e+00 0.000e+00 2.006e+02]]",0.9829577517365099,0.9821033155474291,0.9839403076572172,920
92,LSTM BoW,0.9782577393808495,"[[3.380e+02 2.200e+00 2.000e-01 0.000e+00 5.400e+00]
 [2.400e+00 3.172e+02 1.200e+00 2.000e-01 6.200e+00]
 [0.000e+00 2.000e-01 2.976e+02 2.000e+00 1.200e+00]
 [0.000e+00 2.200e+00 6.000e-01 2.130e+02 0.000e+00]
 [4.600e+00 1.600e+00 0.000e+00 0.000e+00 1.930e+02]]",0.9771896723044126,0.9763115912616463,0.9782266917490041,960
93,LSTM TFIDF,0.9716342692584593,"[[3.382e+02 4.200e+00 2.000e-01 0.000e+00 9.200e+00]
 [2.000e+00 3.124e+02 2.000e+00 2.000e-01 6.000e+00]
 [2.000e-01 1.200e+00 2.964e+02 1.800e+00 1.000e+00]
 [0.000e+00 2.800e+00 8.000e-01 2.130e+02 0.000e+00]
 [4.600e+00 2.800e+00 2.000e-01 2.000e-01 1.896e+02]]",0.9704750252584124,0.9694304439392376,0.9718326020381982,960
94,LSTM W2V,0.9847372210223183,"[[3.390e+02 0.000e+00 0.000e+00 0.000e+00 3.800e+00]
 [2.000e+00 3.200e+02 0.000e+00 6.000e-01 6.200e+00]
 [0.000e+00 0.000e+00 2.996e+02 1.000e+00 0.000e+00]
 [2.000e-01 1.200e+00 0.000e+00 2.134e+02 0.000e+00]
 [3.800e+00 2.200e+00 0.000e+00 2.000e-01 1.958e+02]]",0.9835991517234808,0.9830221759607719,0.9842663077854095,960
95,LSTM Hybrid,0.9867530597552197,"[[3.388e+02 0.000e+00 0.000e+00 0.000e+00 4.200e+00]
 [1.800e+00 3.212e+02 0.000e+00 1.000e+00 3.200e+00]
 [0.000e+00 1.000e+00 2.994e+02 1.000e+00 2.000e-01]
 [6.000e-01 1.000e+00 0.000e+00 2.132e+02 2.000e-01]
 [3.800e+00 2.000e-01 2.000e-01 0.000e+00 1.980e+02]]",0.9859745748584926,0.9855407218423073,0.9865054019690961,960
