,Model,accuracy,confusion,f1,precision,recall,train_size
41,MLP W2V,0.5082212257100149,"[[ 76.4  14.8  21.4  11.6  15. ]
 [ 26.   90.   13.   21.6  16.2]
 [ 10.2   3.2  17.4   8.2   6. ]
 [ 30.   28.   36.6 114.4  22. ]
 [ 12.2   9.   12.8  11.2  41.8]]",0.4668531466797356,0.47820327823701636,0.5154561150630839,1680
42,MLP W2V,0.5109697933227345,"[[83.6 20.2 27.2 17.4 19.8]
 [20.2 83.4 12.6 21.6 14.2]
 [ 7.   1.6 16.6  7.2  5.2]
 [22.6 21.8 26.  99.6 17.8]
 [ 9.6  9.2 13.  13.4 38.2]]",0.4683067927152857,0.4811918647513947,0.5191362759750848,1720
43,MLP W2V,0.5147707979626486,"[[72.8 18.  23.6 14.6 19. ]
 [20.2 79.4 11.8 17.6 13.8]
 [ 7.   1.6 14.8  5.8  4. ]
 [22.2 22.2 29.2 99.4 16. ]
 [ 9.8  6.8 11.2 11.4 36.8]]",0.47247344001409736,0.48488481576049247,0.5176300845640046,1760
44,MLP W2V,0.5020036429872496,"[[68.  16.  19.8 16.6 16.8]
 [26.6 84.2 20.2 26.  20.2]
 [ 5.6  2.  11.4  4.8  3. ]
 [16.4 13.6 20.4 82.6 12. ]
 [ 8.8  4.8 10.8  9.  29.4]]",0.4517635162676018,0.4667503559577145,0.5130236078734198,1800
45,MLP W2V,0.5273084479371317,"[[67.6 18.8 20.6 16.4 19.4]
 [15.  69.8  6.2 13.2 10.2]
 [ 8.   2.8 16.   6.6  4.8]
 [19.2 17.2 23.8 88.4 15.6]
 [ 5.2  4.2  8.   5.4 26.6]]",0.4865092164776508,0.4925097019640229,0.5324700702214769,1840
46,MLP W2V,0.5253731343283583,"[[51.8  9.8 13.6  9.6  9.6]
 [16.8 68.4  7.  14.4 11.4]
 [ 9.6  4.6 15.6  9.2  6.8]
 [13.4 14.  18.2 74.   7.6]
 [13.   9.  13.4 11.6 36.6]]",0.4938045147070249,0.5038846484917807,0.5207385380449437,1880
47,MLP W2V,0.5328671328671328,"[[48.8 11.  11.6  8.8 10.8]
 [13.4 60.4  6.6 11.  10.4]
 [ 7.   1.8 13.4  4.4  4.6]
 [17.4 16.8 22.6 78.2 14.2]
 [ 8.4  5.4  8.   6.2 27.8]]",0.49254238757372787,0.49832918231703544,0.5227542842300535,1920
48,MLP W2V,0.5305912596401028,"[[45.8  9.4 11.6  8.  10.2]
 [10.2 55.2  5.  12.2  8.8]
 [ 8.6  3.  14.8  6.4  5.4]
 [14.8 12.4 17.  63.6  8.8]
 [ 7.6  6.4  8.   8.8 27. ]]",0.49627339008757565,0.5020911914985133,0.5157931943626691,1960
49,MLP W2V,0.529512893982808,"[[46.2  9.8 12.6  9.4 10.6]
 [ 6.4 43.8  2.6  6.4  5.4]
 [ 2.8  1.2  8.4  4.   3.2]
 [16.2 16.  19.4 61.2  9. ]
 [ 6.8  6.4  7.6  8.4 25.2]]",0.487994649120271,0.49397477392699257,0.5325412563805179,2000
50,MLP W2V,0.5398058252427185,"[[38.6  6.2  7.2  7.   7.8]
 [ 8.2 41.6  5.8  7.8  7.2]
 [ 6.6  3.4 13.   5.   5.2]
 [10.4 13.  14.8 54.2  7.4]
 [ 4.8  4.6  4.4  5.4 19.4]]",0.5066266444532477,0.5085603368824114,0.5294829532255513,2040
51,MLP W2V,0.5442379182156134,"[[32.2  4.   6.   6.4  6.8]
 [ 7.8 39.4  2.8  7.   5.8]
 [ 4.8  2.4  8.6  2.6  2.8]
 [11.8 12.  16.4 50.4  8. ]
 [ 4.   3.8  4.8  2.6 15.8]]",0.5036195283840328,0.5055620477804939,0.5378284874351905,2080
52,MLP W2V,0.5397379912663756,"[[28.8  4.4  6.4  5.6  6.2]
 [ 8.4 35.6  4.4  9.2  6.4]
 [ 3.   0.8  7.2  1.8  2. ]
 [ 7.4  8.4 11.4 37.   5.2]
 [ 4.2  3.   4.   3.2 15. ]]",0.49830856932885553,0.5043149788378776,0.5325713815979347,2120
